air_temp_prev2,air_temp_prev1,air_temp,humidity_prev2,humidity_prev1,humidity,soil_moisture_prev2,soil_moisture_prev1,soil_moisture,leaf_temp_delta_prev2,leaf_temp_delta_prev1,leaf_temp_delta,future_label
30.4,35.0,37.6,57.6,49.9,30.6,69.2,54.7,57.7,1.7,3.5,7.3,future_heat_stress
29.9,31.1,32.5,59.5,51.3,38.2,56.5,46.7,39.0,1.5,3.5,4.7,future_water_stress
30.9,30.3,35.3,58.1,51.4,35.5,61.0,48.7,33.0,1.6,3.3,4.3,future_water_stress
28.6,32.4,33.0,61.8,46.5,35.2,61.9,53.6,21.6,1.9,2.4,5.7,future_water_stress
31.9,31.3,30.5,51.2,57.2,53.3,50.4,47.7,47.8,2.2,3.6,3.7,future_root_zone_stress
29.1,29.0,28.2,69.6,68.3,68.0,65.9,65.2,64.3,0.1,0.8,1.5,stable
27.9,31.6,32.0,53.8,49.2,43.9,58.5,52.9,47.1,1.7,2.8,3.7,future_root_zone_stress
30.8,32.4,32.5,58.8,46.3,36.4,63.9,52.3,39.8,1.3,3.3,5.5,future_water_stress
30.3,33.2,37.5,59.1,50.3,25.5,58.0,55.9,56.1,1.4,3.0,7.5,future_heat_stress
31.0,31.1,34.8,55.6,46.3,38.7,62.5,52.6,34.6,2.0,2.1,5.8,future_water_stress
28.3,28.6,30.9,54.8,53.7,54.7,59.9,53.9,47.8,1.1,2.3,4.0,future_root_zone_stress
29.7,31.7,35.7,55.4,51.1,35.9,58.6,52.9,25.0,1.8,2.5,5.4,future_water_stress
27.8,32.6,30.6,57.0,57.2,48.8,52.5,49.8,48.4,1.8,2.7,4.8,future_root_zone_stress
30.5,35.9,39.3,55.2,43.0,26.2,59.1,55.2,51.0,2.6,3.2,5.3,future_heat_stress
28.1,32.1,32.9,59.4,57.0,42.8,52.4,50.8,47.2,1.2,3.6,4.9,future_root_zone_stress
31.2,31.9,32.4,60.8,56.5,52.0,55.7,54.1,49.7,1.7,3.2,3.6,future_root_zone_stress
25.8,25.8,25.3,71.1,71.9,68.6,69.5,71.5,70.9,1.2,0.3,0.1,stable
29.3,28.8,30.0,63.1,63.2,64.8,72.6,72.4,74.4,0.8,1.0,0.1,stable
28.5,30.0,34.3,60.8,51.0,42.7,57.3,40.3,25.1,1.1,3.2,4.7,future_water_stress
30.5,32.4,37.9,64.1,50.2,30.9,64.5,57.9,45.9,1.6,4.8,5.2,future_heat_stress
28.1,27.6,27.5,72.4,71.7,75.3,60.2,61.6,60.1,2.0,0.8,0.1,stable
27.3,29.0,33.4,62.4,46.5,42.9,57.0,49.5,46.0,1.0,3.1,4.3,future_root_zone_stress
27.4,32.3,30.6,62.4,45.6,50.6,58.2,50.2,42.8,2.9,3.6,3.6,future_root_zone_stress
26.7,27.6,26.4,78.9,80.9,79.5,74.2,75.2,72.7,0.0,1.0,0.4,stable
29.6,30.0,30.3,63.3,62.9,65.3,64.2,65.0,63.3,1.0,1.0,1.8,stable
31.2,33.1,38.8,58.5,53.8,34.8,69.0,50.2,58.3,2.7,4.3,6.3,future_heat_stress
29.3,29.1,33.1,59.1,51.1,42.4,57.9,45.5,41.4,1.4,3.1,3.7,future_root_zone_stress
30.5,31.0,33.2,55.3,50.9,43.6,62.6,41.5,34.0,1.6,2.0,5.1,future_water_stress
28.8,30.6,32.9,58.7,54.1,41.1,64.6,49.9,26.5,1.3,2.3,5.1,future_water_stress
27.2,26.9,27.3,75.9,75.5,75.6,64.4,65.2,65.5,1.0,0.0,0.7,stable
27.5,32.9,31.0,60.9,50.4,54.1,55.9,45.6,45.3,2.5,3.5,3.5,future_root_zone_stress
30.5,32.9,29.2,54.5,50.3,54.7,58.3,52.4,41.5,2.6,2.5,4.7,future_root_zone_stress
29.2,30.4,32.3,60.9,53.4,40.7,58.5,42.1,37.0,1.0,3.1,4.2,future_water_stress
30.8,31.7,35.6,62.2,48.9,43.2,59.5,43.7,37.6,1.7,2.3,4.0,future_water_stress
28.4,34.7,39.7,64.6,48.6,29.2,63.2,55.1,45.5,1.9,3.1,7.6,future_heat_stress
28.7,29.2,28.6,76.9,77.6,78.8,60.3,61.3,60.2,1.1,2.0,0.1,stable
30.5,30.8,35.0,61.5,48.3,41.2,58.1,46.8,29.3,1.4,2.8,4.8,future_water_stress
30.7,31.9,33.5,60.2,48.3,35.7,64.7,47.3,36.4,1.2,2.6,5.0,future_water_stress
27.1,27.8,27.5,68.2,66.3,67.8,68.8,70.6,70.6,0.2,1.0,1.9,stable
29.4,33.3,39.3,64.4,52.2,38.8,68.6,53.7,48.9,1.3,4.5,6.4,future_heat_stress
29.0,34.0,39.0,55.6,47.7,29.7,58.7,51.9,58.0,1.0,3.4,5.4,future_heat_stress
29.5,28.9,30.4,77.1,74.2,77.9,74.0,75.9,72.4,1.1,1.1,1.6,stable
29.6,34.0,36.8,58.5,48.1,26.1,59.0,64.2,45.5,2.4,3.4,5.4,future_heat_stress
31.5,32.5,39.9,59.3,49.0,30.6,64.9,58.4,45.2,1.4,4.7,6.6,future_heat_stress
31.7,33.7,39.2,63.2,50.2,25.0,61.2,56.5,48.2,1.1,4.7,5.3,future_heat_stress
29.9,32.3,38.4,57.9,52.7,28.3,62.6,57.8,52.3,1.4,5.0,5.2,future_heat_stress
31.4,34.1,36.1,57.6,44.8,38.1,58.0,55.6,46.1,1.4,4.9,7.8,future_heat_stress
30.4,33.8,35.4,61.3,47.9,41.1,56.2,47.1,21.8,1.4,2.8,4.8,future_water_stress
25.0,25.8,24.5,71.1,72.3,73.5,64.7,65.8,65.5,1.7,0.1,0.9,stable
31.7,32.5,38.7,56.3,52.5,27.4,67.5,50.2,54.1,2.9,4.3,5.7,future_heat_stress
28.7,33.5,35.2,55.2,54.8,40.9,60.6,53.3,29.4,1.1,3.4,4.6,future_water_stress
29.3,28.6,31.9,53.3,52.0,53.6,51.1,49.4,47.1,2.0,3.9,4.8,future_root_zone_stress
28.3,32.2,37.4,58.7,45.0,32.7,60.3,59.3,55.1,1.5,3.6,6.6,future_heat_stress
30.3,32.5,33.1,60.3,50.5,37.2,62.1,47.2,31.8,1.9,2.2,4.5,future_water_stress
29.3,32.3,37.6,64.5,48.6,35.3,57.8,62.5,59.6,2.6,4.3,7.7,future_heat_stress
29.8,32.7,35.0,60.5,49.0,35.8,60.4,50.0,29.7,1.9,3.6,4.1,future_water_stress
30.4,35.4,39.1,57.1,46.4,29.1,62.0,64.9,58.7,1.1,3.2,6.1,future_heat_stress
30.1,33.8,32.0,61.9,54.5,38.3,58.5,45.4,25.9,1.8,2.2,5.6,future_water_stress
29.5,32.9,35.4,61.5,50.1,37.9,60.3,53.1,22.4,1.8,2.2,5.4,future_water_stress
30.6,33.6,39.9,59.5,47.4,25.3,65.5,55.4,56.0,2.8,3.6,5.9,future_heat_stress
28.7,30.8,29.5,55.9,56.9,49.8,54.6,52.4,43.5,2.9,2.1,4.5,future_root_zone_stress
28.0,31.5,34.4,62.3,49.2,43.3,58.6,47.8,21.2,1.4,3.0,4.6,future_water_stress
28.3,30.1,34.5,62.5,49.5,37.4,57.9,54.8,25.1,1.8,3.1,5.1,future_water_stress
29.4,31.6,35.9,59.2,45.3,41.9,60.3,50.3,28.7,1.9,2.2,4.1,future_water_stress
30.5,28.3,29.3,60.0,45.6,42.6,50.8,54.6,43.3,1.4,2.4,3.4,future_root_zone_stress
31.2,28.7,30.5,60.6,46.3,46.6,53.3,51.7,47.6,2.0,3.8,4.8,future_root_zone_stress
28.7,33.9,39.6,56.9,49.8,29.0,60.3,52.0,59.5,1.6,3.7,6.6,future_heat_stress
29.3,35.7,38.5,57.7,40.4,35.6,59.2,52.3,51.3,1.8,4.7,7.6,future_heat_stress
